q,problem,tag,period,total_cost_yuan,emergency_kwh,days_with_emergency,unused_plan_kwh,reserve_mean_kwh,reserve_effective_mean_kwh,daily_cost_cvar95_yuan,coverage,coverage_samples,final_soc_kwh,coverage_00,coverage_06,coverage_12,coverage_18
0.5,Q3,exact-greedy,calendar_365_days,15343097.2931,133566.432391,302,389058.916859,0,0,75380.1367281,0.515942028986,345,6000,0.515942028986,0.501449275362,0.515942028986,0.524637681159
0.55,Q3,exact-greedy,calendar_365_days,15324008.5562,125955.83504,296,385788.872603,11.8869287191,11.8869287191,75065.7907182,0.51884057971,345,6000,0.51884057971,0.515942028986,0.527536231884,0.533333333333
0.6,Q3,exact-greedy,calendar_365_days,15252175.0345,104573.164375,258,380055.703491,153.267451107,153.267451107,74725.2600914,0.533333333333,345,6000,0.533333333333,0.530434782609,0.571014492754,0.565217391304
0.65,Q3,exact-greedy,calendar_365_days,15192878.0918,84614.786593,215,371981.786208,382.948810377,382.948810377,74548.6152057,0.553623188406,345,6000,0.553623188406,0.582608695652,0.626086956522,0.602898550725
0.7,Q3,exact-greedy,calendar_365_days,15202542.94,71424.0378922,189,357074.026349,674.511383523,674.511383523,74408.0757738,0.605797101449,345,6000,0.605797101449,0.640579710145,0.68115942029,0.655072463768
0.75,Q3,exact-greedy,calendar_365_days,15219277.6636,59406.2459645,171,347286.510492,1017.43376318,1017.43376318,74318.2741728,0.657971014493,345,6000,0.657971014493,0.721739130435,0.736231884058,0.724637681159
0.8,Q3,exact-greedy,calendar_365_days,15251117.1659,51639.0603271,159,338574.382956,1395.19608204,1395.19608204,74321.9224573,0.750724637681,345,6000,0.750724637681,0.771014492754,0.797101449275,0.771014492754
0.85,Q3,exact-greedy,calendar_365_days,15326246.4515,43847.6314675,142,326167.594643,2112.00561775,2112.00561775,74247.3576968,0.820289855072,345,6000,0.820289855072,0.817391304348,0.855072463768,0.834782608696
0.9,Q3,exact-greedy,calendar_365_days,15598876.3678,40187.6950819,127,311739.016077,3286.26519191,3129.22050395,74715.1139056,0.904347826087,345,6000,0.904347826087,0.884057971014,0.913043478261,0.892753623188
