date,R_reserve_kwh,per_slot_q80_sum_kwh,inflation_ratio,load_mae_kw,pv_mae_kw,netload_mae_kw
2025-02-01,568.7034812824407,4069.861305137675,7.156385425951736,163.30184788802782,102.82740317365203,227.6634410925332
2025-02-02,464.8319942982949,3943.4765880839905,8.48365998135954,157.48126424257714,140.42085673390622,276.1507523702591
2025-02-03,360.960507314149,3769.317612506058,10.442465411390748,131.5659160164337,104.85394466639538,205.7163147984696
2025-02-04,257.0890203300033,3621.2286199656737,14.08550476141459,171.16892842050572,98.84478216919757,200.0918882532469
2025-02-05,153.21753334585742,3549.087416509227,23.163715920800552,141.0731591208496,98.6248607286385,197.24940925625464
2025-02-06,568.7034812824407,3690.725383464328,6.48971828894321,134.98871311254635,112.81896737087904,183.39653204918656
2025-02-07,464.8319942982949,3662.4407454831385,7.8790633829151915,129.2107192057011,187.4471071761276,274.6159405352466
2025-02-08,360.960507314149,3670.876568325157,10.169745703316904,202.0276953215128,122.6356624169926,257.7523430434959
2025-02-09,731.4949391953519,3880.194186148148,5.304471676067071,198.71676961982777,74.2376984455553,210.52292278982083
2025-02-10,975.8025059112032,4121.2429084833875,4.22343956232719,137.73692079986995,210.4987414791986,248.12828065501142
2025-02-11,975.6821260647163,4072.7174074303466,4.174225701824742,136.09210289443124,152.76217067930915,210.49889623171768
2025-02-12,894.2863971082629,4070.6324597160938,4.551821958691048,120.08680923990434,114.52939718084073,167.29365080644834
2025-02-13,812.8906681518066,4029.0777426766917,4.956481726918121,139.8962046878007,209.37918313475438,308.3935135875902
2025-02-14,731.4949391953504,3967.829565769419,5.4242748010451844,121.92461150564239,74.01985697379561,137.64802095055867
2025-02-15,650.0992102388971,3996.5773916903418,6.147642280970758,134.45309783450654,105.22946862905049,186.7387917244126
2025-02-16,568.7034812824407,3978.8070629065587,6.9962769595400545,123.56861734539244,98.39452879836216,173.75915505018048
2025-02-17,552.7301055288173,3897.492058706674,7.05134751974076,117.9073465394926,224.33964315067112,312.5372179985582
2025-02-18,536.7567297751931,3809.711779843048,7.09765070190857,121.67527008615778,85.41294557592244,162.97552544841528
2025-02-19,520.7833540215696,3835.736247649866,7.365320373682679,116.37861601524102,124.7313735378005,187.2368828598948
2025-02-20,636.7273670714451,3846.9238299462145,6.041712715506013,125.19213052942278,115.2731665668984,204.3057110479351
2025-02-21,568.7034812824407,3784.5331843551467,6.654668573192006,137.57171854805793,96.3279998226874,193.53403203711045
