q,problem,tag,period,total_cost_yuan,emergency_kwh,days_with_emergency,unused_plan_kwh,reserve_mean_kwh,reserve_effective_mean_kwh,daily_cost_cvar95_yuan,coverage,coverage_samples,final_soc_kwh,coverage_00,coverage_06,coverage_12,coverage_18
0.5,Q3,exact-greedy,formal_334_days,13533398.7856,102006.794688,280,316767.793117,0,0,66523.5476512,0.51497005988,334,6000,0.51497005988,0.488023952096,0.511976047904,0.520958083832
0.55,Q3,exact-greedy,formal_334_days,13514310.0487,94396.1973377,274,313497.748861,12.9902065343,12.9902065343,66091.7455518,0.517964071856,334,6000,0.517964071856,0.502994011976,0.523952095808,0.52994011976
0.6,Q3,exact-greedy,formal_334_days,13442476.527,73013.5266728,236,307764.579749,167.492873215,167.492873215,65503.8373575,0.532934131737,334,6000,0.532934131737,0.517964071856,0.568862275449,0.562874251497
0.65,Q3,exact-greedy,formal_334_days,13383133.1121,53095.3081947,194,299724.570792,418.491963436,418.491963436,65195.7429368,0.553892215569,334,6000,0.553892215569,0.571856287425,0.622754491018,0.601796407186
0.7,Q3,exact-greedy,formal_334_days,13392369.5216,40241.0388266,169,284811.042884,736.484462037,736.484462037,64997.542555,0.607784431138,334,6000,0.607784431138,0.631736526946,0.676646706587,0.655688622754
0.75,Q3,exact-greedy,formal_334_days,13409394.3151,28996.5236337,152,275422.318478,1105.93802611,1105.93802611,64859.6478438,0.658682634731,334,6000,0.658682634731,0.715568862275,0.733532934132,0.724550898204
0.8,Q3,exact-greedy,formal_334_days,13439044.3678,21541.6346994,141,268000.684713,1500.87622984,1500.87622984,64940.3270753,0.751497005988,334,6000,0.751497005988,0.766467065868,0.793413173653,0.77245508982
0.85,Q3,exact-greedy,formal_334_days,13507627.8932,13750.2058398,124,257552.14018,2228.03980183,2228.03980183,65083.1635243,0.814371257485,334,6000,0.814371257485,0.814371257485,0.853293413174,0.838323353293
0.9,Q3,exact-greedy,formal_334_days,13747446.2835,10090.2694542,109,244444.592897,3264.45282859,3264.45282859,65760.9671535,0.90119760479,334,6000,0.90119760479,0.880239520958,0.910179640719,0.892215568862
