问题,档位,period,slots,max_balance_err,max_purchase_identity_err,max_pv_identity_err,max_soc_recursion_err,soc_violations,power_violations,simultaneous_charge_discharge
Q2,reserve-mpc,formal_334_days,48096,5.11590769747e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q2,reserve-mpc,calendar_365_days,52560,6.8212102633e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q3,exact-greedy,formal_334_days,48096,5.11590769747e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q3,exact-greedy,calendar_365_days,52560,6.8212102633e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q4-2,reserve-mpc,formal_334_days,48096,6.8212102633e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q4-2,reserve-mpc,calendar_365_days,52560,6.8212102633e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q4-3,exact-greedy,formal_334_days,48096,5.11590769747e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
Q4-3,exact-greedy,calendar_365_days,52560,5.11590769747e-13,4.54747350886e-13,4.54747350886e-13,4.54747350886e-12,0,0,0
