口径,总费用/元,计划购电量/kWh,充电量/kWh,放电量/kWh,弃光量/kWh,紧急购电量/kWh,相对理论下界/元,相对理论下界/%
可实现策略,14654077.586971432,22032122.52696639,,,1432173.6237880592,77165.86291098525,1871485.7784579638,14.640894479721364
完美电价（仍是逐日决策）,14605084.966118416,,,,,79893.97361992463,1822493.1576049477,14.257618368061554
完美预测（逐日决策，余量0）,12939133.655748356,20386278.01667523,7690739.112612756,6233818.681216333,990168.0903121401,1.0572596131908086e-10,156541.847234888,1.22464872210523
理论完美最低值（全年统一优化）,12782591.808513468,20236466.06240364,6885202.511183334,5578094.034058499,990168.0903121397,0.0,0.0,0.0
