date,day_index,season_stress,level_window_days,load_level_factor,pv_level_factor,load_weekly_factor,drift_level,drift_scale,drift_direction,pv_window_start,pv_window_end,daylight_proxy_hours,daylight_proxy_trend_hours,load_weight_baseline,load_weight_ridge,load_weight_lightgbm
2025-02-06,36,0.07607688222017592,18,0.9896325343440593,1.006503326774723,1.0,0.018213248281466206,0.06146090119082267,-0.018213248281466206,40,102,10.5,0.3333333333333339,0.8381454023953737,0.16185459760462623,
2025-02-07,37,0.05073603228464346,19,0.9912405902895679,1.005406196581525,1.0,0.06417980000406581,0.00890309248347674,-0.06417980000406581,40,102,10.5,0.3333333333333339,0.7327709139508171,0.26722908604918294,
2025-02-08,38,0.073808184561943,18,0.9917046070978345,1.0082403467238905,1.0,0.11630711603939775,0.010011127361956891,-0.11630711603939775,40,102,10.5,0.3333333333333339,0.692673922834187,0.3073260771658129,
2025-02-09,39,0.07970596367964415,18,0.9989494497114512,1.0084726082439472,1.0,0.12240851167338113,0.013400573056091271,0.12240851167338113,40,102,10.5,0.3333333333333339,0.8038959689965749,0.19610403100342516,
2025-02-10,40,0.21422292523971875,14,1.0058459807615452,0.9984045211943342,1.0,0.3785594143249118,0.03244434896007889,0.3785594143249118,40,102,10.5,0.3333333333333339,0.8444855819571329,0.1555144180428671,
2025-02-11,41,0.2719032582525281,13,1.0086763974149497,1.01545481738526,1.0,0.5032368119880749,0.0452983842924833,0.5032368119880749,40,102,10.5,0.3333333333333339,0.8554785350006776,0.1445214649993225,
2025-02-12,42,0.30199076784182666,12,1.012115200784794,1.0194461788161626,1.0,0.6516442301200457,0.018725870101839553,0.6516442301200457,40,102,10.5,0.3333333333333339,0.883108663621184,0.11689133637881603,
2025-02-13,43,0.2903502798843033,12,1.0115354480286447,1.01798120166291,1.0,0.5973495994416412,0.011213141831563899,0.5973495994416412,39,102,10.5,0.3333333333333339,0.8465123436707171,0.15348765632928277,
2025-02-14,44,0.2676841796623658,13,1.0097609549754119,1.0330433193177928,1.0,0.5114401771081257,0.02096602981470749,0.5114401771081257,39,103,10.5,0.3333333333333339,0.8039479240487172,0.1960520759512828,
2025-02-15,45,0.2516509627254883,13,1.009537793408083,1.0214142459359086,1.0,0.4853280251922841,0.02033431932837228,0.4853280251922841,39,103,10.5,0.3333333333333339,0.7922665926179534,0.20773340738204663,
2025-02-16,46,0.2233662319197869,14,1.010832949854349,1.0178506930266586,1.0,0.330318310378278,0.04074141309363101,0.330318310378278,39,103,10.583333333333332,0.4166666666666661,0.8100249101331853,0.18997508986681463,
2025-02-17,47,0.1749400961085824,15,1.0098754409016522,1.0163009798697613,1.0,0.12695371890763513,0.10882696322685577,0.12695371890763513,39,103,10.75,0.5833333333333339,0.813485520738851,0.18651447926114895,
2025-02-18,48,0.1257485140104227,17,1.0082952369550502,1.025125038685231,1.0,0.01921923950981347,0.12789339992761742,0.01921923950981347,39,103,10.833333333333334,0.5833333333333339,0.7981101138886654,0.2018898861113347,
2025-02-19,49,0.14654487181117656,15,1.008939661633032,1.0259811310344786,1.0,0.08628631899654755,0.13877313734045352,-0.08628631899654755,39,103,10.833333333333334,0.4166666666666661,0.8111748393252333,0.1888251606747668,
2025-02-20,50,0.14930991168813307,15,1.0086902146810992,1.0222865151241485,1.0,0.09275925537824671,0.13747777739204098,-0.09275925537824671,39,103,10.833333333333334,0.3333333333333339,0.7860304175815983,0.21396958241840175,
2025-02-21,51,0.16029827968177784,15,1.007005592750964,1.021074272875395,1.0,0.1010723271791535,0.1482249883414217,-0.1010723271791535,39,103,10.833333333333334,0.3333333333333339,0.748750668921871,0.2512493310781289,
2025-02-22,52,0.1598418080910868,15,1.0055264093071716,1.021117691468004,1.0,0.12111117011159388,0.12897525946693678,-0.12111117011159388,39,103,10.833333333333334,0.3333333333333339,0.7307838442192088,0.26921615578079117,
2025-02-23,53,0.1985230080293769,14,1.0032272913461566,1.0106514629291077,1.0,0.18376842090632764,0.14018791255728968,-0.18376842090632764,39,103,10.833333333333334,0.3333333333333339,0.7018613077965532,0.2981386922034468,
2025-02-24,54,0.1957257793932987,14,1.0021382602555124,1.013602325604465,1.0,0.17996113647170583,0.13411974666715334,-0.17996113647170583,39,103,10.833333333333334,0.3333333333333339,0.6836128407017293,0.3163871592982707,
2025-02-25,55,0.19608287375286573,14,1.0007999970157593,1.0209377307621175,1.0,0.1819498054758484,0.13766069729128252,-0.1819498054758484,39,103,10.833333333333334,0.3333333333333339,0.6753945314092066,0.3246054685907935,
2025-02-26,56,0.192462670336399,14,0.999879694988998,1.0303266609985662,1.0,0.1875467742765163,0.12141278898923179,-0.1875467742765163,39,103,10.833333333333334,0.3333333333333339,0.6682424376227605,0.3317575623772395,
2025-02-27,57,0.19065681322659772,14,0.9988086416276609,1.0215499174305673,1.0,0.21067849739685526,0.10640711203379366,-0.21067849739685526,39,104,10.833333333333334,0.3333333333333339,0.6487862475371164,0.35121375246288355,
2025-02-28,58,0.18404512691895517,15,0.998566466179198,1.0202176398479026,1.0,0.1596053981359292,0.1257096409733252,-0.1596053981359292,38,104,10.833333333333334,0.3333333333333339,0.6344234262565563,0.3655765737434437,
2025-03-01,59,0.18026671550081025,14,0.9974713350768071,1.0139837977762007,1.0,0.1360071160205674,0.15049945513578683,-0.1360071160205674,38,104,10.833333333333334,0.3333333333333339,0.6295250187463579,0.37047498125364214,
2025-03-02,60,0.1689798368966321,15,0.9907263301062434,1.0015390862424496,1.0,0.2567887096635952,0.028036481053591248,-0.2567887096635952,38,104,10.916666666666668,0.3333333333333357,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-03,61,0.18612360867274746,14,0.9884414717710903,0.9815728528916796,1.0,0.3284221944756704,0.02323010031072857,-0.3284221944756704,38,104,11.083333333333332,0.33333333333333215,0.4477202415771564,0.26582929766718255,0.2864504607556611
2025-03-04,62,0.21174326574872301,14,0.9881818829434956,0.9756519367387906,1.0,0.328244425562762,0.058063923213029715,-0.328244425562762,38,104,11.166666666666666,0.33333333333333215,0.4030940736717899,0.2528768602834347,0.3440290660447755
2025-03-05,63,0.23473388200647577,13,0.9879046623475793,0.9821257243424202,1.0,0.34145757740233745,0.08298900097259523,-0.34145757740233745,38,104,11.166666666666666,0.33333333333333215,0.3308752887419595,0.20656562847164803,0.4625590827863926
2025-03-06,64,0.21958991588566962,14,0.9891999067110048,0.9965933301729607,1.0,0.2732508856362219,0.08271314701788288,-0.2732508856362219,38,104,11.166666666666666,0.33333333333333215,0.29692685004432096,0.22177119287043376,0.48130195708524526
2025-03-07,65,0.2022435571087886,14,0.9905698332361637,0.9973585435210889,1.0,0.21760628200085547,0.1157952460834013,-0.21760628200085547,38,104,11.166666666666666,0.33333333333333215,0.27708295403185484,0.22602568081440078,0.4968913651537443
2025-03-08,66,0.24368736081075448,13,0.9869036762800925,0.9936460403002362,1.0,0.25808333490624036,0.15599740855656732,-0.25808333490624036,38,104,11.166666666666666,0.33333333333333215,0.3460129839697344,0.3185871637689217,0.335399852261344
2025-03-09,67,0.15387991282304597,17,0.991978353497488,1.0019192834146473,1.0,0.0273770082234116,0.06373074325138582,0.0273770082234116,38,104,11.166666666666666,0.33333333333333215,0.26815028955318215,0.24394967046005456,0.48790003998676323
2025-03-10,68,0.1642028201508117,15,0.9955380158416879,1.012082236105095,1.0,0.22988762391109568,0.0540384294152765,0.22988762391109568,38,104,11.166666666666666,0.33333333333333215,0.24703263215503332,0.24105260113292923,0.5119147667120375
2025-03-11,69,0.20960098378252484,14,0.9987302708393481,1.0000425767416203,1.0,0.33903171279346406,0.04863678577644075,0.33903171279346406,37,104,11.166666666666666,0.33333333333333215,0.22709117745788066,0.26375110932687046,0.5091577132152489
2025-03-12,70,0.21769296002600644,14,0.9998179186670055,1.0049256849800023,1.0,0.39796228389280686,0.026575636517627656,0.39796228389280686,37,105,11.166666666666666,0.33333333333333215,0.2009230755682078,0.27398763431030787,0.5250892901214843
2025-03-13,71,0.2111966963987334,14,1.0010853823604506,1.0132429756250372,1.0,0.3991470441169063,0.009127377897016432,0.3991470441169063,37,105,11.166666666666666,0.33333333333333215,0.1922418702200423,0.2791602934884944,0.5285978362914633
2025-03-14,72,0.2086804952287261,14,1.0024962627659195,1.000026679193214,1.0,0.3885423165176695,0.019769758235990108,0.3885423165176695,37,105,11.25,0.4166666666666661,0.19115037374292548,0.2985335802595053,0.5103160459975692
2025-03-15,73,0.26828402545490726,13,1.0004294823939057,1.0123415969382672,1.0,0.4227909998911154,0.08334226858330246,0.4227909998911154,37,105,11.416666666666668,0.5833333333333339,0.19788350941110427,0.3101700049577624,0.4919464856311333
2025-03-16,74,0.2577966432230607,13,1.001363161992551,1.0064285700256732,1.0,0.34098409393292767,0.10220903637202333,0.34098409393292767,37,105,11.5,0.5833333333333321,0.18439055171821686,0.3129530634699289,0.5026563848118543
2025-03-17,75,0.23792186112952973,13,1.0021518956579427,1.0123659205410374,1.0,0.24063103655995613,0.14417981048864995,0.24063103655995613,37,105,11.5,0.41666666666666785,0.177252554274331,0.331742256221785,0.491005189503884
2025-03-18,76,0.21245771263377566,14,1.0014976844255987,1.0322549721926162,1.0,0.1251674238040144,0.18878793905806363,0.1251674238040144,37,105,11.5,0.3333333333333339,0.1654588727799186,0.3334300841007148,0.5011110431193666
2025-03-19,77,0.1865298768160832,15,1.0008471475342287,1.0273746496362846,1.0,0.07607088304745924,0.20156953494227925,0.07607088304745924,37,106,11.5,0.3333333333333339,0.15539653410849386,0.34702111433769456,0.49758235155381164
2025-03-20,78,0.15880773653162422,15,0.9998321841800099,1.0260023498507937,1.0,0.004002389483002626,0.21260534187081173,0.004002389483002626,36,106,11.5,0.3333333333333339,0.14912992352640334,0.3454197021348923,0.5054503743387043
2025-03-21,79,0.177673977290901,15,0.9997296772989274,1.0199210083935863,1.0,0.06126580157800586,0.21928716778967355,-0.06126580157800586,36,106,11.5,0.3333333333333339,0.1543567328302733,0.3497339867707129,0.4959092803990138
2025-03-22,80,0.16311061728802193,15,1.0009724802716613,1.0298256155131305,1.0,0.005143490643970616,0.22602112438991936,0.005143490643970616,36,106,11.583333333333332,0.4166666666666661,0.156683238954678,0.3501543425289039,0.49316241851641807
2025-03-23,81,0.16472524164375493,15,1.0000531434407005,1.0233651607169543,1.0,0.03797331996307653,0.2199669787875712,-0.03797331996307653,36,106,11.75,0.5833333333333339,0.1586993661364396,0.3495860195109355,0.491714614352625
2025-03-24,82,0.17866095026028328,15,1.0002708849191746,1.025773820613224,1.0,0.05763049803144037,0.22521848682863815,-0.05763049803144037,36,106,11.833333333333334,0.6666666666666679,0.16198087947269704,0.36023296192187976,0.47778615860542323
2025-03-25,83,0.1773870742899936,15,1.0000266865333063,1.0259662886901144,1.0,0.05242977721225673,0.22601461268223447,-0.05242977721225673,36,106,11.833333333333334,0.6666666666666679,0.1680662477484563,0.36324019734946816,0.4686935549020756
2025-03-26,84,0.15358946080668118,16,1.0013173999084644,1.018612547937895,1.0,0.0012602788033749803,0.19709345144742707,-0.0012602788033749803,36,106,11.833333333333334,0.6666666666666679,0.16367509090867674,0.373324549358461,0.4630003597328623
2025-03-27,85,0.15081301666765007,15,1.0012806328205914,1.0259788999611028,1.0,0.0326854441149526,0.19934180497852616,0.0326854441149526,36,106,11.833333333333334,0.6666666666666679,0.1593826646078377,0.3788109872584747,0.4618063481336877
2025-03-28,86,0.154093845563123,15,1.0012652668792783,1.0226851232918772,1.0,0.036638077000534404,0.20118899641663585,0.036638077000534404,36,106,11.833333333333334,0.5833333333333339,0.1611607297698339,0.37675968741930194,0.4620795828108642
2025-03-29,87,0.14523513769613727,16,0.9993072339090062,1.0222314291666623,1.0,0.02923005731336472,0.1767190851427734,-0.02923005731336472,36,106,11.833333333333334,0.4166666666666661,0.16464071721869955,0.368223300962771,0.4671359818185294
2025-03-30,88,0.13222656222806106,16,0.9990825603265054,1.031988693509981,1.0,0.04919078481706292,0.14262208118450223,-0.04919078481706292,36,106,11.833333333333334,0.3333333333333339,0.16728492505708192,0.3820605990086433,0.45065447593427477
2025-03-31,89,0.1211419315194029,16,0.9996106066746383,1.028366872311122,1.0,0.07005216833051345,0.10169936340766948,-0.07005216833051345,36,106,11.833333333333334,0.3333333333333339,0.17744870477941072,0.37188012411261134,0.450671171107978
2025-04-01,90,0.12838755337871266,16,0.9987771945805226,1.017766865095275,1.0,0.09553348350619681,0.10185479502220043,-0.09553348350619681,35,107,11.833333333333334,0.3333333333333339,0.17945860703132932,0.35739218169560877,0.46314921127306197
2025-04-02,91,0.15082125897173915,15,0.9991387618514189,1.0035002146264946,1.0,0.13914514158258012,0.10057224767765058,-0.13914514158258012,35,107,11.833333333333334,0.3333333333333339,0.17387338195863025,0.35966933202427837,0.46645728601709147
2025-04-03,92,0.13364513407481435,16,0.9999202315077279,0.995868800616845,1.0,0.11252889647054906,0.07051100955470879,-0.11252889647054906,35,107,11.833333333333334,0.3333333333333339,0.17122272962668006,0.37392737754653244,0.45484989282678756
2025-04-04,93,0.11001079127095933,17,1.000089216315918,1.003480661747952,1.0,0.10011518262568496,0.06161477860641235,-0.10011518262568496,35,107,12.0,0.5,0.16442095480109595,0.38134200762812365,0.4542370375707805
2025-04-05,94,0.11285249236506639,16,0.9986189474828712,1.012133709689746,1.0,0.10597524131753554,0.07037964339792593,-0.10597524131753554,35,107,12.166666666666666,0.5833333333333339,0.1549770926194991,0.3770025123125704,0.46802039506793053
2025-04-06,95,0.08451144628063008,18,0.9997434571503852,1.0039483278310992,1.0,0.047881026732047076,0.03644493499492047,-0.047881026732047076,35,107,12.166666666666666,0.4166666666666661,0.15521286143797955,0.3803878919656477,0.4643992465963728
2025-04-07,96,0.07007797805992662,18,0.999171412668271,1.0029813191798715,1.0,0.0563434351725545,0.04881558514854792,-0.0563434351725545,35,107,12.166666666666666,0.33333333333333215,0.14868104788509534,0.38113814693263126,0.47018080518227334
2025-04-08,97,0.04616414091166755,20,0.9989956285962625,1.0059726523860055,1.0,0.0008683651389601157,0.027927513791976628,0.0008683651389601157,35,107,12.166666666666666,0.33333333333333215,0.14421711298199466,0.3828361040552109,0.4729467829627943
2025-04-09,98,0.046138630638012025,19,0.9989883116178702,1.0057580165941984,1.0,0.008066816262617972,0.054514187225879154,-0.008066816262617972,35,107,12.166666666666666,0.33333333333333215,0.13372344811449272,0.37861865498952874,0.4876578968959786
2025-04-10,99,0.05995644613671158,18,0.9990829206074915,0.9941052541921429,1.0,0.0262164940897564,0.0588725429307463,-0.0262164940897564,35,107,12.166666666666666,0.33333333333333215,0.13174648350576518,0.37632818597210854,0.49192533052212634
2025-04-11,100,0.0554122411218535,19,0.9992188782476173,0.9972994508068408,1.0,0.016135462458376184,0.05443952446272771,-0.016135462458376184,34,107,12.166666666666666,0.33333333333333215,0.13148991925909712,0.37553432385130614,0.4929757568895968
2025-04-12,101,0.045214348751150206,19,0.9993739754592986,1.005194632541986,1.0,0.015150907946052483,0.03970318081287381,0.015150907946052483,34,108,12.166666666666666,0.33333333333333215,0.1296166654397336,0.36215068138180817,0.5082326531784582
2025-04-13,102,0.0491138844817975,19,0.9988249314867819,1.0014512559146047,1.0,0.027043107624185686,0.04319504096850274,-0.027043107624185686,34,108,12.166666666666666,0.33333333333333215,0.13474141590782815,0.36744729191184394,0.4978112921803279
2025-04-14,103,0.038078803514757155,20,0.998907626256812,0.9990372502680498,1.0,0.013670168918737955,0.024197996053382933,0.013670168918737955,34,108,12.25,0.4166666666666661,0.13339948270167382,0.35562604034951995,0.5109744769488063
2025-04-15,104,0.04040166202438655,19,0.9998281398995266,1.0016116490192,1.0,0.056929497576144024,0.00907951937765746,0.056929497576144024,34,108,12.416666666666668,0.5833333333333339,0.13403571787987395,0.3576628155199282,0.5083014666001978
2025-04-16,105,0.030433901398824747,20,0.9989298644829613,1.0060681702066634,1.0,0.016236855746675036,0.013689056325555836,0.016236855746675036,34,108,12.5,0.6666666666666661,0.14026903412777053,0.34978404525456147,0.509946920617668
2025-04-17,106,0.0179214692432028,20,0.999160364535302,0.9998853990385093,1.0,0.00837929660129589,0.013121285266799955,0.00837929660129589,34,108,12.5,0.6666666666666661,0.1385860028114641,0.343273675782395,0.518140321406141
2025-04-18,107,0.012134438424658577,21,0.9989170005107432,0.9992661476609737,1.0,0.010249926598106807,0.003488105724117391,-0.010249926598106807,34,108,12.5,0.5,0.141179337266813,0.3371663447755052,0.5216543179576818
2025-04-19,108,0.02511448948226451,20,0.9979083178362748,0.997908121184783,1.0,0.03548466203849199,0.005273982220980853,-0.03548466203849199,34,108,12.5,0.3333333333333339,0.13122523463374092,0.3336297303965088,0.5351450349697504
2025-04-20,109,0.023024357485620237,20,0.9978096567141649,0.9985800501898919,1.0,0.027641652013593008,0.005753419082769741,-0.027641652013593008,33,109,12.5,0.3333333333333339,0.13580137420631958,0.33006434642751964,0.5341342793661608
2025-04-21,110,0.026249599464084672,20,0.9980296544814223,0.999499965812097,1.0,0.019892152730195893,0.018373791026960382,-0.019892152730195893,33,109,12.5,0.3333333333333339,0.13176933412346942,0.3281918115766029,0.5400388542999277
2025-04-22,111,0.025505389705819136,20,0.9990846270945232,1.0086937193260173,1.0,0.030033378680710862,0.008839000940736298,-0.030033378680710862,33,109,12.5,0.3333333333333339,0.13237135606839623,0.3313861098660121,0.5362425340655917
2025-04-23,112,0.037465736246474354,19,0.9995022469501266,1.0054398610065014,1.0,0.05034951232584411,0.01010638679382794,0.05034951232584411,33,109,12.666666666666668,0.5000000000000018,0.12597121419269874,0.32519527232343953,0.5488335134838618
2025-04-24,113,0.03449045895010312,19,0.9997263207535987,1.0052183146497446,1.0,0.0444274127570271,0.006849451461400896,0.0444274127570271,33,109,12.833333333333334,0.6666666666666679,0.13331031419445594,0.3224982532931667,0.5441914325123773
