q,problem,tag,period,total_cost_yuan,emergency_kwh,days_with_emergency,unused_plan_kwh,reserve_mean_kwh,reserve_effective_mean_kwh,daily_cost_cvar95_yuan,coverage,coverage_samples,final_soc_kwh,coverage_00
0.5,Q2,reserve-mpc,formal_334_days,14854881.1064,498027.356131,331,440053.055029,0,0,85656.151257,0.497005988024,334,6000,0.497005988024
0.55,Q2,reserve-mpc,formal_334_days,14690525.2327,450455.318402,307,420909.705776,127.322842508,127.322842508,85121.1226705,0.520958083832,334,6000,0.520958083832
0.6,Q2,reserve-mpc,formal_334_days,14419076.7643,370474.977783,263,396762.719786,418.411325839,418.411325839,83834.6247909,0.553892215569,334,6000,0.553892215569
0.65,Q2,reserve-mpc,formal_334_days,14202755.2663,305685.159382,213,383660.199116,740.345664353,740.345664353,82194.6068369,0.619760479042,334,6000,0.619760479042
0.7,Q2,reserve-mpc,formal_334_days,14018732.6107,239414.116783,184,371204.375361,1199.70749118,1199.70749118,80080.0358618,0.691616766467,334,6000,0.691616766467
0.75,Q2,reserve-mpc,formal_334_days,13902564.3462,183105.119811,163,361974.455891,1711.39286489,1711.39286489,78031.1761216,0.745508982036,334,6000,0.745508982036
0.8,Q2,reserve-mpc,formal_334_days,13864639.3648,136727.006914,139,352014.070688,2299.55406464,2299.55406464,76068.2191875,0.808383233533,334,6000,0.808383233533
0.85,Q2,reserve-mpc,formal_334_days,13910230.2626,89217.1616149,120,341819.952865,3111.70349758,3111.70349758,73352.8606719,0.87125748503,334,6000,0.87125748503
0.9,Q2,reserve-mpc,formal_334_days,14046611.4039,66877.5190514,111,333709.668774,3776.38540851,3776.38540851,72012.7687692,0.90119760479,334,6000,0.90119760479
