方案,决策模型,建模范式,风险处理,开发期(2-8月)_元,留出期(9-12月)_元,全年正式期_元,紧急购电_kWh,紧急购电费_元,电网结算费_元,超购费_元,未用计划电量_kWh,调整量_kWh,计划购电量_kWh,更新时间
M1,确定性经济调度 LP,确定性优化,不加安全余量，预报即真值,8778341.121713921,5493022.70905199,14271363.830765912,117356.54488672345,660022.8013156471,13611341.029450266,630284.4059515806,488078.39422439935,498362.4823807569,20328561.349630404,2026-09-12 19:49
M2,分位安全余量 LP,确定性优化,逐时段 q=0.80 历史残差分位作额外净负荷，加进功率平衡右端（模型3 口径）,8917345.418160945,5585421.17812546,14502766.596286405,14900.354024173424,88582.49625499517,14414184.10003141,321922.9929502948,1527066.0929826074,280783.18620511447,21920588.225680996,2026-09-12 19:49
M3,两阶段随机规划,随机优化,9 个真实历史残差日场景，等权期望，紧急购电为追索,12654832.30882712,7998767.483967512,20653599.79279463,1763.109753663713,12176.73332165392,20641423.059472978,5486003.168800762,6796091.172537012,4588756.606867511,23545245.210867077,2026-09-12 19:49
M4,均值–CVaR 随机规划,风险厌恶随机优化,目标 = 0.5·期望 + 0.5·CVaR(0.90)，在目标里罚尾部而非在约束里留量,12011585.38546629,7516156.155643021,19527741.54110931,1759.31235642743,12150.294973643706,19515591.246135667,332674.43613810174,7768603.749135409,270839.1037226666,28961489.60554289,2026-09-12 19:49
M5,鲁棒优化,鲁棒优化,取历史累计残差最大的单条日曲线作最坏情形，对最坏情形求可行解,15204675.632034134,9505383.548618462,24710059.180652596,0.0,0.0,24710059.180652596,259749.74479595787,14030094.396440426,214534.56010351563,35260496.201888435,2026-09-12 19:49
M6,精确链式结算 MILP,混合整数优化,与 M2 同用 q=0.80 分位余量，但结算项用 0-1 变量精确刻画,8915753.53849911,5585268.986296521,14501022.52479563,14900.354024173423,88582.49625499515,14412440.028540634,320012.23108440737,1524861.832684637,278186.2789357667,21920906.26972781,2026-09-12 19:49
M9,储能追索型 LP,确定性优化 + 储能储备,购电按点预报下达，不确定性全交给储能储备带,8731378.375860108,5407080.598381596,14138458.974241704,21336.851139551796,129360.04663653107,14009098.927605174,585171.9109239724,476983.49607995385,562757.866433342,20349217.196475863,2026-09-12 19:49
M10,储能追索型 LP (q=0.70),确定性优化 + 储能储备,同 M9，q 按开发期标定为 0.70,8715410.029756386,5369089.598008256,14084499.627764639,43518.8204350683,257378.19204913283,13827121.435715508,620674.3424953965,494631.87960163644,566155.8841941905,20340099.106612734,2026-09-12 19:49
M7,规则型启发式,无优化,凭规则留量：净负荷跟随 + 储能在电价高低四分位充放,11622102.203747086,7142532.31587463,18764634.519621715,3106.2780993407514,19337.5506116912,18745296.96901002,4798459.538475331,298434.767828334,6426418.668534272,20954571.55228453,2026-09-12 19:49
