date,R_reserve_kwh,per_slot_q80_sum_kwh,inflation_ratio,load_mae_kw,pv_mae_kw,netload_mae_kw
2025-02-01,568.7035712824407,4194.1240711139035,7.374886114493793,163.30184788802782,102.82740614557557,227.6634396812429
2025-02-02,464.8320811258811,4058.4177830404446,8.730933056966405,157.48126424257714,140.42086003251734,276.1507507643563
2025-02-03,360.9605909693214,3885.511583593825,10.764365088054891,131.5659160164337,104.853950032557,205.71631213292528
2025-02-04,257.0891008127617,3737.2739266999642,14.53688201827671,171.16892842050572,98.84478737753089,200.09188570014234
2025-02-05,153.21761065620205,3671.820421816653,23.96474142946715,141.0731591208496,98.6248657881623,197.24941262927052
2025-02-06,568.7035712824407,3798.8739160123114,6.679884051801813,134.98871311254635,112.81897228986054,183.39652957362074
2025-02-07,464.8320811258811,3754.672246273254,8.07748087692005,129.2107192057011,187.4471119621636,274.61594375721853
2025-02-08,360.9605909693214,3769.2660946661736,10.44232026699704,202.0276953215128,122.6356670770803,257.7523477035836
2025-02-09,731.4950099854753,3971.075951144758,5.428712290496156,198.71676961982777,74.23770298615358,210.52292658849126
2025-02-10,1093.8023015649594,4200.875722787288,3.840617008006729,137.73692079986995,210.49874590628193,248.12828213070588
2025-02-11,975.682168040025,4158.175907111723,4.261813983404833,136.09210289443124,152.76217429267862,210.49889981685772
2025-02-12,894.2864486885098,4152.991000407669,4.643915835354678,120.08680923990434,114.52940010191661,167.29365226698624
2025-02-13,812.8907293369919,4109.55721336086,5.0554853992647795,139.8962046878007,209.37918623552957,308.3935151056781
2025-02-14,731.4950099854739,4035.09052342577,5.516224264477073,121.92461150564239,74.0198603197552,137.64802179757046
2025-02-15,650.0992906339587,4063.1215232774634,6.250001471798593,134.45309783450654,105.2294722092974,186.73879170383645
2025-02-16,568.7035712824407,4046.9487164581815,7.116095134293269,123.56861734539244,98.39453264296763,173.75915600126743
2025-02-17,552.7302016197264,3964.6233797891146,7.172800343044655,117.9073465394926,224.3396472779367,312.5372169445787
2025-02-18,536.7568319570114,3877.455554842218,7.2238587829521315,121.67527008615778,85.41295004158603,162.97552657206495
2025-02-19,520.783462294297,3903.509804165602,7.4954565319121285,116.37861601524102,124.73137838473927,187.23688284572248
2025-02-20,636.7274739694042,3911.4223593940515,6.143008617187456,125.19213052942278,115.27317178912062,204.30570843682398
2025-02-21,568.7035712824407,3854.6117039542196,6.77789255879293,137.57171854805793,96.32800528746591,193.5340306754547
2025-02-22,552.7302016197264,3819.1551716954227,6.909619124310071,124.6650212677195,87.15646297653115,154.90338519151257
2025-02-23,559.0014663187525,3860.7401237850104,6.9064937328510485,121.58764157924257,115.24381752857016,190.8797915140323
2025-02-24,554.1504138369085,3823.2022047552186,6.899213840306581,122.5136072362637,111.67370594009569,192.0710256182657
2025-02-25,549.2993613550643,3770.880440270654,6.8648913608206,119.10951715739549,204.3075785614648,286.2710138629609
2025-02-26,544.4483088732201,3701.2293268891026,6.798128062054407,132.32011448386876,114.95045499241718,182.48828405875668
2025-02-27,563.8525188005967,3777.2968256922036,6.699086551439213,109.59564296095985,157.1140338421415,211.27615183832688
2025-02-28,559.0014663187525,3773.4345157373946,6.750312375004962,117.3496716835035,97.24932859197769,179.7467444669859
2025-03-01,554.1504138369085,3792.9033037708036,6.844537528193726,192.52167272754318,160.33366877458553,249.5470689494624
2025-03-02,549.2993613550643,3784.8335780934813,6.890293061249317,145.19412862560065,173.67741881288876,247.50207314697238
2025-03-03,568.7035712824407,3892.0874666209093,6.843789388985469,145.69777109523116,140.16372417214473,234.42545246519109
2025-03-04,563.8525188005967,3899.6643333365087,6.916106966466533,130.912342610059,106.27871507001561,179.489281799035
2025-03-05,559.0014663187525,3884.294357772087,6.948629997970692,126.31137249207637,186.57617794058868,247.12464556068304
