代号,决策模型,建模范式,风险处理,开发期(2-8月)_元,留出期(9-12月)_元,全年正式期_元,紧急购电_kWh,紧急购电费_元,电网结算费_元,超购费_元,违约费_元,未用计划电量_kWh,调整量_kWh,链式减两元差额_元,计划购电量_kWh,相对M2_元,相对M2_%
M10,储能追索型 LP (q=0.70),确定性优化 + 储能储备,同 M9，q 按开发期标定为 0.70,8714996.150340417,5368638.91948605,14083635.069826465,43945.68340262317,259575.48605895368,13824059.583767513,620887.5377944922,0.0,494128.0339904466,565600.0602732343,0.0,20340165.665644594,-416378.2388168946,-2.871571425170309
M9,储能追索型 LP,确定性优化 + 储能储备,购电按点预报下达，不确定性全交给储能储备带,8732459.67242121,5406084.290339224,14138543.962760434,21699.529352478094,131248.85348263246,14007295.109277802,592850.7353235146,0.0,478045.1724333128,564579.5684388557,0.0,20349127.84121254,-361469.34588292614,-2.4928897525042735
M1,确定性经济调度 LP,确定性优化,不加安全余量，预报即真值,8778349.50175487,5492954.528013123,14271304.029767994,117345.09075762381,659909.2375922767,13611394.792175714,630335.9913020667,0.0,488054.98639130476,498417.5715536302,0.0,20328484.385231763,-228709.27887536585,-1.5773039238455995
M6,精确链式结算 MILP,混合整数优化,与 M2 同用 q=0.80 分位余量，但结算项用 0-1 变量精确刻画,8912991.992332011,5585275.8363920795,14498267.82872409,14944.865395023235,88788.80658603206,14409479.022138057,319656.3558538165,2.2077634065365005e-11,1521041.8111506724,277754.22355637694,2.9103830456733704e-11,21917425.838377446,-1745.479919269681,-0.012037781497960504
M2,分位安全余量 LP,确定性优化,约束侧加 q=0.80 历史分位余量（模型3 口径）,8914585.280422343,5585428.028221019,14500013.30864336,14944.865395023222,88788.80658603196,14411224.502057329,321568.50648013793,0.0,1523248.200940142,280353.19773588615,0.0,21917107.84502151,0.0,0.0
M7,规则型启发式,无优化,凭规则留量：净负荷跟随 + 储能在电价高低四分位充放,11622154.361530602,7142554.12254607,18764708.48407667,3106.1061508351704,19336.380231470706,18745372.1038452,4798552.016823501,1538599.7968350514,298417.1602134126,6426510.26243249,1521478.3706790074,20954450.345057808,4264695.175433312,29.411663869930074
M4,均值–CVaR 随机规划,风险厌恶随机优化,目标 = 0.5·期望 + 0.5·CVaR(0.90)，在目标里罚尾部而非在约束里留量,11947721.558872476,7516187.961718886,19463909.52059136,1758.8102733743622,12146.344367690024,19451763.17622367,275140.91029466945,0.0,7713938.929004936,227561.06548904214,0.0,28953409.9419932,4963896.211948,34.23373555794639
M3,两阶段随机规划,随机优化,9 个真实历史残差日场景，等权期望，紧急购电为追索,12589423.92494065,7998822.918161785,20588246.843102433,1762.576719544218,12172.521999473554,20576074.32110296,5426861.36727127,0.0,6739708.977116676,4544003.673101885,0.0,23536946.40837513,6088233.534459073,41.98777894107117
M5,鲁棒优化,鲁棒优化,盒式不确定集取历史累计残差最大的整条日曲线，对最坏情形求可行解,15204645.899822198,9505419.115513569,24710065.01533577,0.0,0.0,24710065.01533577,259749.73442789912,0.0,14030027.934060842,214534.56010351566,0.0,35260421.539476156,10210051.706692409,70.41408507264104
