date,issue_hour,physical_slot0,right_endpoint_hour,实际光伏,官方预报（对齐后）,自建基础预测,融合预测
2025-03-20,0,1,0.3333333333333333,0.0,0.0,0.0,0.0
2025-03-20,0,2,0.5,0.0,0.0,0.0,0.0
2025-03-20,0,3,0.6666666666666666,0.0,0.0,0.0,0.0
2025-03-20,0,4,0.8333333333333334,0.0,0.0,0.0,0.0
2025-03-20,0,5,1.0,0.0,0.0,0.0,0.0
2025-03-20,0,6,1.1666666666666667,0.0,0.0,0.0,0.0
2025-03-20,0,7,1.3333333333333333,0.0,0.0,0.0,0.0
2025-03-20,0,8,1.5,0.0,0.0,0.0,0.0
2025-03-20,0,9,1.6666666666666667,0.0,0.0,0.0,0.0
2025-03-20,0,10,1.8333333333333333,0.0,0.0,0.0,0.0
2025-03-20,0,11,2.0,0.0,0.0,0.0,0.0
2025-03-20,0,12,2.1666666666666665,0.0,0.0,0.0,0.0
2025-03-20,0,13,2.3333333333333335,0.0,0.0,0.0,0.0
2025-03-20,0,14,2.5,0.0,0.0,0.0,0.0
2025-03-20,0,15,2.6666666666666665,0.0,0.0,0.0,0.0
2025-03-20,0,16,2.8333333333333335,0.0,0.0,0.0,0.0
2025-03-20,0,17,3.0,0.0,0.0,0.0,0.0
2025-03-20,0,18,3.1666666666666665,0.0,0.0,0.0,0.0
2025-03-20,0,19,3.3333333333333335,0.0,0.0,0.0,0.0
2025-03-20,0,20,3.5,0.0,0.0,0.0,0.0
2025-03-20,0,21,3.6666666666666665,0.0,0.0,0.0,0.0
2025-03-20,0,22,3.8333333333333335,0.0,0.0,0.0,0.0
2025-03-20,0,23,4.0,0.0,0.0,0.0,0.0
2025-03-20,0,24,4.166666666666667,0.0019,0.0,0.0,0.0007331196581196586
2025-03-20,0,25,4.333333333333333,0.0,0.0,0.0,0.0007331196581196586
2025-03-20,0,26,4.5,0.0,0.0,0.0,0.0
2025-03-20,0,27,4.666666666666667,0.0271,0.0,0.0,0.0007331196581196586
2025-03-20,0,28,4.833333333333333,0.0,0.0,0.0,0.0007331196581196586
2025-03-20,0,29,5.0,0.0,0.0,0.0,0.0
2025-03-20,0,30,5.166666666666667,0.3776,0.0,0.0,0.1514739316239317
2025-03-20,0,31,5.333333333333333,0.0,0.0,0.0,0.1514739316239317
2025-03-20,0,32,5.5,0.0,0.0,0.0,0.0
2025-03-20,0,33,5.666666666666667,5.2594,0.0,0.0,0.1514739316239317
2025-03-20,0,34,5.833333333333333,0.0,0.0,0.0,0.1514739316239317
2025-03-20,0,35,6.0,0.0,0.0,11.132073615632958,0.0
2025-03-20,0,36,6.166666666666667,153.4202,290.7432166666672,141.63586078329857,169.77063084094684
2025-03-20,0,37,6.333333333333333,401.044,581.4864333333344,379.9363050420152,435.402084659203
2025-03-20,0,38,6.5,675.525,872.22965,665.2451302457035,731.8453104851685
2025-03-20,0,39,6.666666666666667,952.6316,1162.9728666666672,981.5908697015092,1048.6317667422898
2025-03-20,0,40,6.833333333333333,1302.5378,1453.7160833333344,1307.717687273522,1371.8292574330148
2025-03-20,0,41,7.0,1693.2375,1744.4593,1642.142027551826,1700.4653821016745
2025-03-20,0,42,7.166666666666667,2009.9231,2087.0072333333337,1990.4918907325348,2081.797797599001
2025-03-20,0,43,7.333333333333333,2305.9149,2429.555166666668,2287.834362020087,2422.4527439976605
2025-03-20,0,44,7.5,2609.7375,2772.1031000000003,2525.658204531273,2754.93334796991
2025-03-20,0,45,7.666666666666667,2894.0148,3114.651033333334,2830.405510790289,3096.6052811156137
2025-03-20,0,46,7.833333333333333,3179.5684,3457.1989666666677,3195.1063071073763,3446.5112809303323
2025-03-20,0,47,8.0,3476.5125,3799.7469,3485.591467416322,3786.2244380234247
2025-03-20,0,48,8.166666666666666,3761.2255,4090.2856666666657,3763.735293993602,3989.8824306343317
2025-03-20,0,49,8.333333333333334,3976.3717,4380.824433333331,4056.288643368998,4269.687122247945
2025-03-20,0,50,8.5,4220.325,4671.3632,4304.0524220108255,4534.124045501321
2025-03-20,0,51,8.666666666666666,4653.7429,4961.901966666666,4522.895630191432,4788.6380197195795
2025-03-20,0,52,8.833333333333334,5037.5027,5252.440733333331,4801.167846170209,5063.542705676375
2025-03-20,0,53,9.0,5180.8875,5542.9795,5168.509661644657,5369.008099194562
2025-03-20,0,54,9.166666666666666,5166.4978,5841.8637499999995,5440.992662866277,5723.888269776059
2025-03-20,0,55,9.333333333333334,5533.329,6140.747999999998,5731.932268407746,6011.351992313723
2025-03-20,0,56,9.5,6107.7375,6439.632250000001,6051.051374398794,6310.512443177933
2025-03-20,0,57,9.666666666666666,6182.795,6738.516499999999,6291.708231530348,6577.104835909198
2025-03-20,0,58,9.833333333333334,6198.386,7037.400749999998,6498.261241010665,6829.541426213089
2025-03-20,0,59,10.0,6426.1875,7336.285,6646.957622879688,7057.962925963116
2025-03-20,0,60,10.166666666666666,6675.2481,7488.569233333333,6827.709076360554,7162.373178100328
2025-03-20,0,61,10.333333333333334,6774.004,7640.853466666666,6972.092090236736,7298.9980281319495
2025-03-20,0,62,10.5,6879.075,7793.1377,7076.794917475572,7418.265812837234
2025-03-20,0,63,10.666666666666666,7268.5137,7945.421933333333,7170.065211954976,7532.532733515225
2025-03-20,0,64,10.833333333333334,7455.3554,8097.706166666666,7367.233413127066,7692.24709047209
2025-03-20,0,65,11.0,7263.0,8249.9904,7519.593288327565,7832.361210964325
2025-03-20,0,66,11.166666666666666,7021.6679,8182.815300000001,7544.283893002652,7823.614125006364
2025-03-20,0,67,11.333333333333334,7052.8842,8115.640200000001,7635.813422632876,7829.507561066095
2025-03-20,0,68,11.5,7317.5625,8048.4651,7772.177009117685,7853.794370225324
2025-03-20,0,69,11.666666666666666,7505.6333,7981.290000000001,7787.471226236939,7828.4119270819065
2025-03-20,0,70,11.833333333333334,7635.0323,7914.1149000000005,7762.524298335145,7786.520373537797
2025-03-20,0,71,12.0,7818.45,7846.9398,7757.272585596179,7752.70887043257
2025-03-20,0,72,12.166666666666666,8082.9395,7596.228716666667,7775.52509355029,7565.9455814254725
2025-03-20,0,73,12.333333333333334,8090.5707,7345.517633333336,7875.579176607829,7501.650291474869
2025-03-20,0,74,12.5,7709.3625,7094.80655,7957.8041580760755,7430.132705949576
2025-03-20,0,75,12.666666666666666,7205.256,6844.095466666668,7845.1066702012895,7279.655017993271
2025-03-20,0,76,12.833333333333334,7206.9442,6593.384383333336,7728.432047903634,7127.566253887203
2025-03-20,0,77,13.0,7525.8,6342.6733,7687.472672667954,7006.148574975943
2025-03-20,0,78,13.166666666666666,7339.075,6266.766433333334,7605.57522785083,7025.029961042571
2025-03-20,0,79,13.333333333333334,6900.6338,6190.859566666668,7402.286208562162,6887.53052014905
2025-03-20,0,80,13.5,6610.0125,6114.9527,7203.472670999792,6752.560526912002
2025-03-20,0,81,13.666666666666666,6642.1795,6039.045833333334,7145.503642834292,6697.192872821513
2025-03-20,0,82,13.833333333333334,6806.5377,5963.138966666667,7036.9229029610515,6613.220549245507
2025-03-20,0,83,14.0,6799.95,5887.2321,6738.133152235772,6421.746113905165
2025-03-20,0,84,14.166666666666666,6453.6137,5556.052500000002,6483.112100045563,6135.925118294806
2025-03-20,0,85,14.333333333333334,6203.5886,5224.872900000002,6304.712332126843,5919.296059123309
2025-03-20,0,86,14.5,6115.6875,4893.6933,6035.9605571442125,5645.350715265041
2025-03-20,0,87,14.666666666666666,5837.6616,4562.513700000001,5812.161200659975,5399.921678899426
2025-03-20,0,88,14.833333333333334,5431.9635,4231.334100000003,5568.708786706121,5142.02540164455
2025-03-20,0,89,15.0,5072.775,3900.1545,5333.88700780802,4889.6041099706035
2025-03-20,0,90,15.166666666666666,4855.4545,3642.360700000001,5136.146162609632,4622.483098998893
2025-03-20,0,91,15.333333333333334,4561.8383,3384.566900000002,4872.463989909883,4365.796685950348
2025-03-20,0,92,15.5,4146.825,3126.7731000000003,4545.411559684929,4069.1027389725978
2025-03-20,0,93,15.666666666666666,3778.6785,2868.979300000001,4247.968586710225,3791.1021256158065
2025-03-20,0,94,15.833333333333334,3471.4229,2611.185500000002,3957.9832903792676,3517.8097659889145
2025-03-20,0,95,16.0,3156.225,2353.3917,3665.079760935864,3242.6750387463762
2025-03-20,0,96,16.166666666666668,2779.805,2169.4160166666657,3318.800824334345,2708.031498667993
2025-03-20,0,97,16.333333333333332,2507.3559,1985.4403333333307,2921.1237836443543,2427.528258527599
2025-03-20,0,98,16.5,2334.4125,1801.4646500000001,2496.763483239146,2135.0806118172254
2025-03-20,0,99,16.666666666666668,2077.0816,1617.4889666666654,2152.0221865298563,1878.273353912067
2025-03-20,0,100,16.833333333333332,1733.8533,1433.513283333331,1846.361822879099,1638.9601562741834
2025-03-20,0,101,17.0,1377.7125,1249.5376,1546.3644755991859,1402.181932648763
2025-03-20,0,102,17.166666666666668,1083.9022,1041.281333333332,1243.0287918280196,1056.9932466246223
2025-03-20,0,103,17.333333333333332,831.8823,833.0250666666639,936.8666253968088,809.9129531496648
2025-03-20,0,104,17.5,597.3375,624.7688,647.9200179911168,571.3508458206726
2025-03-20,0,105,17.666666666666668,374.8971,416.51253333333193,373.4750241967898,339.96407586964756
2025-03-20,0,106,17.833333333333332,156.1276,208.2562666666638,143.80231056139667,130.73044169584028
2025-03-20,0,107,18.0,0.0,0.0,10.463639380764526,0.0
2025-03-20,0,108,18.166666666666668,0.0,0.0,0.0,0.1599729751201775
2025-03-20,0,109,18.333333333333332,5.5774,0.0,0.0,0.1599729751201775
2025-03-20,0,110,18.5,0.0,0.0,0.0,0.0
2025-03-20,0,111,18.666666666666668,0.0,0.0,0.0,0.1599729751201775
2025-03-20,0,112,18.833333333333332,0.4004,0.0,0.0,0.1599729751201775
2025-03-20,0,113,19.0,0.0,0.0,0.0,0.0
2025-03-20,0,114,19.166666666666668,0.0,0.0,0.0,0.0007722222222222228
2025-03-20,0,115,19.333333333333332,0.0288,0.0,0.0,0.0007722222222222228
2025-03-20,0,116,19.5,0.0,0.0,0.0,0.0
2025-03-20,0,117,19.666666666666668,0.0,0.0,0.0,0.0007722222222222228
2025-03-20,0,118,19.833333333333332,0.0021,0.0,0.0,0.0007722222222222228
2025-03-20,0,119,20.0,0.0,0.0,0.0,0.0
2025-03-20,0,120,20.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,121,20.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,122,20.5,0.0,0.0,0.0,0.0
2025-03-20,0,123,20.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,124,20.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,125,21.0,0.0,0.0,0.0,0.0
2025-03-20,0,126,21.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,127,21.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,128,21.5,0.0,0.0,0.0,0.0
2025-03-20,0,129,21.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,130,21.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,131,22.0,0.0,0.0,0.0,0.0
2025-03-20,0,132,22.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,133,22.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,134,22.5,0.0,0.0,0.0,0.0
2025-03-20,0,135,22.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,136,22.833333333333332,0.0,0.0,0.0,0.0
